word,synonym,antonym
happy,joyful,sad
big,large,small
fast,quick,slow
angry,irate,calm
bright,luminous,dark
strong,powerful,weak
friendly,amicable,unfriendly
begin,start,end
brave,courageous,fearful
happy,ecstatic,sad
Difficult,Hard,Easy
Smart,Intelligent,Dull
Rich,Wealthy,Poor
Simple,Basic,Complex
Loud,Noisy,Silent
Abate,Moderate,Aggravate
Consolidate,Solidify,Separate
Contradict,oppose,Approve
Confident,Bold,Diffident
Cunning,Acute,Naïve
Decary,Decompose,Flourish
Awkard,Rude,Adroit
Candid,Blunt,Evasive
Feeble,Weak,Strong
Fluctuate,Deflect,Resolve
Gorgeous,Dazzling,Dull
Hazard,Danger,Security
Harmony,Conformity,Discord
Humble,Timid,Proud
Immense,Huge,Insignificant
Liable,Accountable,Unaccountable
Mandatory,Imperative,Optional
Mutual,Joint,Separate
Prompt,Precise,Slow
Tame,Compliant,Untamed
Thick,Chunky,Thin
Virtue,Ethic,Dishonesty
Bind,Predicament,Release
Comprise,include,Reject
Consent,agree,Disagree
Compress,Shrink,Expand
Energetic,Vigorous,Lazy
Honest,Sincere,DisHonest
Patient,Tolerant,Impatient
Exciting,Thrilling,Boring
Optimistic,Hopeful,Pessimistic
Quiet,Silent,Noisy
Responsible,Reliable,Irresponsible
Organized,Systematic,Disorganized
Loyal,Faithful,Disloyal
Wise,Intelligent,Foolish
Eager,Enthusiastic,Reluctant
Flexible,Adaptable,Rigid
Decay,decompose,Progress
Merit,Asset,Demerit
Savage,untamed,Polished
Successful,Propitious,Destitute
Temperate,moderate,violent
Timid,coward,Bold
Wane,Decline,Rise
Yield,surrender ,Resist
Zig -zag,wayward,Straight
Aesthetic,Beautiful ,Unattractive
Cohort,companion,opponent
Diligent,Active,Careless
Jumble,Mix up,Arrange
Paradox,Absurdity,Normality
Perceive,realize,disbelieve
Rugged,lumpy,smooth
Toil,Effort,laziness
Bold,Adventurous,Timid
Capable,competent,Incompetent
Captivity,confinement,Freedom
Consent,agree,Disagree
Consequence,outcome,Start
Contradict,oppose,Approve
Candid,Blunt,Evasive
Cement,Plaster,Disintegrate
Cheap,Inexpensive,Expensive
Classic,Simple,Unusual
Comic,Clown,Tragic
Compact,Bunched,Diffuse
Compress,Shrink,Expand
Alien,Foreigner,Native
Awkard,Rude,Clever
Brittle,Breakable,Tough
Compassion,Kindness,Cruelty
Fluctuate,Deflect,Resolve
Fragile,Weak,Enduring
Gather,Converge,Disperse
Gloom,Darkness,Delight
Genuine,Absolute,Spurious
Immunity,Privilege,Blame
Impartial,Unbiased,Biased
Intrinsic,Genuine,Extraneous
Jovial,Cheerful,Solemn
Obtain,Evident,Ambiguous
Offensive,Abhorrent,Engaging
Offspring,Sibling,Ancestor
